name	gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags	vOTU	confidence
vOTU90-cat_1_27-CBM32	vOTU90-cat_1_27	vOTU90-cat_1	CBM32	"CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."	carbon utilization	CAZY		Carbohydrate-Binding Modules	1	MT	vOTU90	high confidence
vOTU905-cat_1_5-CBM16	vOTU905-cat_1_5	vOTU905-cat_1	CBM16	CBM16 Carbohydrate-binding module 16. Binding to cellulose and glucomannan demonstrated [B. Bae et al (2008) J Biol Chem. 283:12415-25 (PMID: 18025086)]	carbon utilization	CAZY		Carbohydrate-Binding Modules	2	MF	vOTU905	high confidence
vOTU8667-cat_2_10-GH93	vOTU8667-cat_2_10	vOTU8667-cat_2	GH93	"GH93 exo-alpha-L-1,5-arabinanase (EC 3.2.1.-)"	carbon utilization	CAZY	Arabinan Oligo Cleavage	Glycoside Hydrolases	3	MF	vOTU8667	-
vOTU8667-cat_2_10-GH33	vOTU8667-cat_2_10	vOTU8667-cat_2	GH33	GH33 sialidase or neuraminidase (EC 3.2.1.18); trans-sialidase (EC 2.4.1.-); anhydrosialidase (EC 4.2.2.15); Kdo hydrolase (EC 3.2.1.-); 2-keto-3-deoxynononic acid hydrolase / KDNase (EC 3.2.1.-)	carbon utilization	CAZY		Glycoside Hydrolases	3	MF	vOTU8667	-
vOTU860-cat_1_16-CBM44	vOTU860-cat_1_16	vOTU860-cat_1	CBM44	CBM44 The C-terminal CBM44 module of the Clostridium thermocellum enzyme has been demonstrated to bind equally well cellulose and xyloglucan	carbon utilization	CAZY		Carbohydrate-Binding Modules	2	M	vOTU860	high confidence
vOTU85-cat_1_17-CBM32	vOTU85-cat_1_17	vOTU85-cat_1	CBM32	"CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."	carbon utilization	CAZY		Carbohydrate-Binding Modules	1	M	vOTU85	-
vOTU821-cat_1_23-GH43	vOTU821-cat_1_23	vOTU821-cat_1	GH43	"GH43 beta-xylosidase (EC 3.2.1.37); alpha-L-arabinofuranosidase (EC 3.2.1.55); xylanase (EC 3.2.1.8); alpha-1,2-L-arabinofuranosidase (EC 3.2.1.-); exo-alpha-1,5-L-arabinofuranosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); beta-1,3-xylosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); [inverting] endo-alpha-1,5-L-arabinanase (EC 3.2.1.99); exo-beta-1,3-galactanase (EC 3.2.1.145); beta-D-galactofuranosidase (EC 3.2.1.146)"	carbon utilization	CAZY	"Xyloglucan Oligo Cleavage (Hemicellulose), Arabinan Backbone Cleavage, Arabinan Oligo Cleavage"	Glycoside Hydrolases	1	MK	vOTU821	-
vOTU746-cat_1_29-K02557	vOTU746-cat_1_29	vOTU746-cat_1	K02557	chemotaxis protein MotB	MISC	Flagella Structure		Flagellar Assembly	1	M	vOTU746	-
vOTU6929-cat_1_4-CBM32	vOTU6929-cat_1_4	vOTU6929-cat_1	CBM32	"CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."	carbon utilization	CAZY		Carbohydrate-Binding Modules	2	MF	vOTU6929	high confidence
vOTU6929-cat_1_2-CBM32	vOTU6929-cat_1_2	vOTU6929-cat_1	CBM32	"CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."	carbon utilization	CAZY		Carbohydrate-Binding Modules	3	MF	vOTU6929	high confidence
vOTU675-cat_2_21-GH39	vOTU675-cat_2_21	vOTU675-cat_2	GH39	GH39 alpha-L-iduronidase (EC 3.2.1.76); beta-xylosidase (EC 3.2.1.37).	carbon utilization	CAZY	Xylan Oligo Cleavage (Hemicellulose)	Glycoside Hydrolases	2	M	vOTU675	-
vOTU590-cat_2_12-K01607	vOTU590-cat_2_12	vOTU590-cat_2	K01607	pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	carbon utilization	hydrocarbon degradation		"protocatechuate degradation, protocatechuate => 3-oxoadipate"	1	M	vOTU590	high confidence
vOTU57-cat_1_182-K09883	vOTU57-cat_1_182	vOTU57-cat_1	K09883	cobT; cobaltochelatase CobT [EC:6.6.1.2]	MISC	aerobic corrin ring synthesis		"Cobalamin biosynthesis, precorrin2 => cobinamide"	2	MKT	vOTU57	high confidence
vOTU567-cat_1_25-K01845	vOTU567-cat_1_25	vOTU567-cat_1	K01845	"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8] [RN:R02272]"	MISC	Antibiotic Resistance		"Siroheme biosynthesis, glutamate => siroheme"	2	MK	vOTU567	-
vOTU55-cat_1_289-K16927	vOTU55-cat_1_289	vOTU55-cat_1	K16927	cbrT; energy-coupling factor transport system substrate-specific component	Transporters	Transporters		Energy-coupling factor transport system	1	MT	vOTU55	high confidence
vOTU55-cat_1_14-CE3	vOTU55-cat_1_14	vOTU55-cat_1	CE3	CE3 acetyl xylan esterase (EC 3.1.1.72).	carbon utilization	CAZY		Carbohydrate Esterases	2	MT	vOTU55	-
vOTU5523-cat_2_4-GH30	vOTU5523-cat_2_4	vOTU5523-cat_2	GH30	"GH30 endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (3.2.1.21); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-fucosidase (EC 3.2.1.38); glucosylceramidase (EC 3.2.1.45); beta-1,6-glucanase (EC 3.2.1.75); glucuronoarabinoxylan endo-beta-1,4-xylanase (EC 3.2.1.136); endo-beta-1,6-galactanase (EC:3.2.1.164); [reducing end] beta-xylosidase (EC 3.2.1.-)"	carbon utilization	CAZY	"Xylan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose)"	Glycoside Hydrolases	3	MF	vOTU5523	-
vOTU551-cat_2_43-K09808	vOTU551-cat_2_43	vOTU551-cat_2	K09808	ABC.LPT.P; lipoprotein-releasing system permease protein	Transporters	Transporters		Lipoprotein-releasing system	2	MF	vOTU551	high confidence
vOTU551-cat_2_17-EC:1.20.4.1	vOTU551-cat_2_17	vOTU551-cat_2	EC:1.20.4.1	arsenate reductase (glutaredoxin); ArsC (ambiguous)	Energy	Metal Reduction		Arsenate	2	M	vOTU551	-
vOTU544-cat_2_55-GH129	vOTU544-cat_2_55	vOTU544-cat_2	GH129	GH129 alpha-N-acetylgalactosaminidase (EC 3.2.1.49);	carbon utilization	CAZY	Mucin Oligo Cleavage	Glycoside Hydrolases	3	M	vOTU544	-
vOTU530-cat_1_40-GH16	vOTU530-cat_1_40	vOTU530-cat_1	GH16	"GH16 xyloglucan:xyloglucosyltransferase (EC 2.4.1.207); keratan-sulfate endo-1,4-beta-galactosidase (EC 3.2.1.103); endo-1,3-beta-glucanase / laminarinase (EC 3.2.1.39); endo-1,3(4)-beta-glucanase (EC 3.2.1.6); licheninase (EC 3.2.1.73); beta-agarase (EC 3.2.1.81); kappa;-carrageenase (EC 3.2.1.83); xyloglucanase (EC 3.2.1.151); endo-beta-1,3-galactanase (EC 3.2.1.181); [retaining] beta-porphyranase (EC 3.2.1.178); hyaluronidase (EC 3.2.1.35); endo-beta-1,4-galactosidase (EC 3.2.1.-); chitin beta-1,6-glucanosyltransferase (EC 2.4.1.-); beta-transglycosidase (EC 2.4.1.-); beta-glycosidase (EC 3.2.1.-); endo-beta-1,3-galactanase (EC 3.2.1.181)"	carbon utilization	CAZY	"Amorphous Cellulose Oligo Cleavage, Xyloglucan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Oligo Cleavage (Hemicellulose), Sulf-Polysachharides Backbone Cleavage"	Glycoside Hydrolases	2	MKE	vOTU530	-
vOTU530-cat_1_26-GH26	vOTU530-cat_1_26	vOTU530-cat_1	GH26	"GH26 beta-mannanase (EC 3.2.1.78); exo-beta-1,4-mannobiohydrolase (EC 3.2.1.100); beta-1,3-xylanase (EC 3.2.1.32); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); mannobiose-producing exo-beta-mannanase (EC 3.2.1.-)"	carbon utilization	CAZY	"Xylan Backbone Cleavage (Hemicellulose), Beta-mannan Backbone Cleavage (Hemicellulose), Beta-mannan Oligo Cleavage (Hemicellulose)"	Glycoside Hydrolases	2	M	vOTU530	high confidence
vOTU497-cat_2_19-K00616	vOTU497-cat_2_19	vOTU497-cat_2	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	3	MKE	vOTU497	-
vOTU473-cat_1_48-GH136	vOTU473-cat_1_48	vOTU473-cat_1	GH136	GH136 lacto-N-biosidase (EC 3.2.1.140)	carbon utilization	CAZY		Glycoside Hydrolases	2	MT	vOTU473	-
vOTU4696-cat_1_3-CBM56	vOTU4696-cat_1_3	vOTU4696-cat_1	CBM56	"CBM56 beta-1,3-glucan binding function demonstrated by Yamamoto et al. (1998) FEBS Letters 433:41-43 [PMID: 9738929]"	carbon utilization	CAZY		Carbohydrate-Binding Modules	1	MF	vOTU4696	high confidence
vOTU443-cat_1_42-GH145	vOTU443-cat_1_42	vOTU443-cat_1	GH145	"GH145 L-Rhalpha-alpha-1,4-GlcA alpha-L-rhamnohydrolase (EC 3.2.1.-)"	carbon utilization	CAZY	Rhamnose Oligo cleavage	Glycoside Hydrolases	1	M	vOTU443	high confidence
vOTU438-cat_1_42-GH114	vOTU438-cat_1_42	vOTU438-cat_1	GH114	"GH114 endo-alpha-1,4-polygalactosaminidase (EC 3.2.1.109)"	carbon utilization	CAZY		Glycoside Hydrolases	2	M	vOTU438	-
vOTU4362-cat_1_2-K05810	vOTU4362-cat_1_2	vOTU4362-cat_1	K05810	polyphenol oxidase	carbon utilization	Polyphenolics Cleavage	Polyphenolics Cleavage	polyphenols	2	MF	vOTU4362	-
vOTU4306-cat_2_2-GH74	vOTU4306-cat_2_2	vOTU4306-cat_2	GH74	GH74 endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151)	carbon utilization	CAZY	Xyloglucan Backbone Cleavage (Hemicellulose)	Glycoside Hydrolases	3	MF	vOTU4306	high confidence
vOTU425-cat_1_51-GH74	vOTU425-cat_1_51	vOTU425-cat_1	GH74	GH74 endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151)	carbon utilization	CAZY	Xyloglucan Backbone Cleavage (Hemicellulose)	Glycoside Hydrolases	1	M	vOTU425	high confidence
vOTU4166-cat_1_6-CE3	vOTU4166-cat_1_6	vOTU4166-cat_1	CE3	CE3 acetyl xylan esterase (EC 3.1.1.72).	carbon utilization	CAZY		Carbohydrate Esterases	2	MF	vOTU4166	-
vOTU4145-cat_2_9-GH39	vOTU4145-cat_2_9	vOTU4145-cat_2	GH39	GH39 alpha-L-iduronidase (EC 3.2.1.76); beta-xylosidase (EC 3.2.1.37).	carbon utilization	CAZY	Xylan Oligo Cleavage (Hemicellulose)	Glycoside Hydrolases	3	MF	vOTU4145	-
vOTU4094-cat_1_6-CBM32	vOTU4094-cat_1_6	vOTU4094-cat_1	CBM32	"CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."	carbon utilization	CAZY		Carbohydrate-Binding Modules	2	MF	vOTU4094	high confidence
vOTU406-cat_2_38-K02556	vOTU406-cat_2_38	vOTU406-cat_2	K02556	chemotaxis protein MotA	MISC	Flagella Structure		Flagellar Assembly	2	M	vOTU406	-
vOTU406-cat_2_37-K02557	vOTU406-cat_2_37	vOTU406-cat_2	K02557	chemotaxis protein MotB	MISC	Flagella Structure		Flagellar Assembly	2	M	vOTU406	-
vOTU406-cat_2_14-GH2	vOTU406-cat_2_14	vOTU406-cat_2	GH2	GH2 beta-galactosidase (EC 3.2.1.23) ; beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); alpha-L-arabinofuranosidase (EC 3.2.1.55); mannosylglycoprotein endo-beta-mannosidase (EC 3.2.1.152); exo-beta-glucosaminidase (EC 3.2.1.165); alpha-L-arabinopyranosidase (EC 3.2.1.-); beta-galacturonidase (EC 3.2.1.-); beta-xylosidase (EC 3.2.1.37); beta-D-galactofuranosidase (EC 3.2.1.146);	carbon utilization	CAZY	"Amorphous Cellulose Oligo Cleavage, Xyloglucan Oligo Cleavage (Hemicellulose), Beta-mannan Oligo Cleavage (Hemicellulose), Pectin Oligo Cleavage, Beta-galactan (pectic galactan) Oligo Cleavage, Arabinose Oligo cleavage"	Glycoside Hydrolases	2	M	vOTU406	-
vOTU3980-cat_1_9-CE3	vOTU3980-cat_1_9	vOTU3980-cat_1	CE3	CE3 acetyl xylan esterase (EC 3.1.1.72).	carbon utilization	CAZY		Carbohydrate Esterases	2	MF	vOTU3980	-
vOTU386-cat_1_7-GH140	vOTU386-cat_1_7	vOTU386-cat_1	GH140	GH140 apiosidase (EC 3.2.1.-)	carbon utilization	CAZY		Glycoside Hydrolases	1	M	vOTU386	-
vOTU3796-cat_2_2-CBM32	vOTU3796-cat_2_2	vOTU3796-cat_2	CBM32	"CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."	carbon utilization	CAZY		Carbohydrate-Binding Modules	3	MF	vOTU3796	high confidence
vOTU364-cat_1_46-CBM40	vOTU364-cat_1_46	vOTU364-cat_1	CBM40	"CBM40 Modules of approx. 200 residues, found at the N-terminus of GH33 sialidases. Can also be found inserted in the beta-propeller of GH33 sialidases. The sialic acid binding function has been demonstrated for the N-terminal CBM40 of Vibrio cholerae sialidase (Moustafa et al. (2004) J Biol Chem 279:40819-26) (PMID: 15226294)."	carbon utilization	CAZY		Carbohydrate-Binding Modules	2	MK	vOTU364	-
vOTU356-cat_1_81-CE3	vOTU356-cat_1_81	vOTU356-cat_1	CE3	CE3 acetyl xylan esterase (EC 3.1.1.72).	carbon utilization	CAZY		Carbohydrate Esterases	1	M	vOTU356	-
vOTU348-cat_1_44-GH30	vOTU348-cat_1_44	vOTU348-cat_1	GH30	"GH30 endo-beta-1,4-xylanase (EC 3.2.1.8); beta-glucosidase (3.2.1.21); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-fucosidase (EC 3.2.1.38); glucosylceramidase (EC 3.2.1.45); beta-1,6-glucanase (EC 3.2.1.75); glucuronoarabinoxylan endo-beta-1,4-xylanase (EC 3.2.1.136); endo-beta-1,6-galactanase (EC:3.2.1.164); [reducing end] beta-xylosidase (EC 3.2.1.-)"	carbon utilization	CAZY	"Xylan Backbone Cleavage (Hemicellulose), Mixed-Linkage glucans Backbone Cleavage (Hemicellulose)"	Glycoside Hydrolases	1	M	vOTU348	-
vOTU3432-cat_1_7-CBM32	vOTU3432-cat_1_7	vOTU3432-cat_1	CBM32	"CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."	carbon utilization	CAZY		Carbohydrate-Binding Modules	2	MF	vOTU3432	high confidence
vOTU3384-cat_2_4-K09883	vOTU3384-cat_2_4	vOTU3384-cat_2	K09883	cobT; cobaltochelatase CobT [EC:6.6.1.2]	MISC	aerobic corrin ring synthesis		"Cobalamin biosynthesis, precorrin2 => cobinamide"	3	MKF	vOTU3384	high confidence
vOTU332-cat_1_9-GH13	vOTU332-cat_1_9	vOTU332-cat_1	GH13	"GH13 alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); malto-oligosyltrehalose synthase (EC 5.4.99.15); amylo-alpha-1,6-glucosidase (EC 3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC 2.4.99.16); 6'-P-sucrose phosphorylase (EC 2.4.1.-); amino acid transporter"	carbon utilization	CAZY	Starch Backbone Cleavage	Glycoside Hydrolases	2	MF	vOTU332	-
vOTU325-cat_1_27-GH29	vOTU325-cat_1_27	vOTU325-cat_1	GH29	"GH29 alpha-L-fucosidase (EC 3.2.1.51); alpha-1,3/1,4-L-fucosidase (EC 3.2.1.111)"	carbon utilization	CAZY	Fucose Oligo Cleavage	Glycoside Hydrolases	2	MK	vOTU325	high confidence
vOTU325-cat_1_25-K01895	vOTU325-cat_1_25	vOTU325-cat_1	K01895	acetyl-CoA synthetase [EC:6.2.1.1] [RN:R00235]	Energy	C1-methane		"Methanogenesis, acetate => methane"	2	M	vOTU325	high confidence
vOTU3122-cat_1_16-CBM32	vOTU3122-cat_1_16	vOTU3122-cat_1	CBM32	"CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."	carbon utilization	CAZY		Carbohydrate-Binding Modules	2	MF	vOTU3122	-
vOTU3106-cat_1_14-CE4	vOTU3106-cat_1_14	vOTU3106-cat_1	CE4	CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).	carbon utilization	CAZY	Chitin Oligo Cleavage	Carbohydrate Esterases	1	MTF	vOTU3106	high confidence
vOTU3051-cat_2_13-GH130	vOTU3051-cat_2_13	vOTU3051-cat_2	GH130	"GH130 beta-1,4-mannosylglucose phosphorylase (EC 2.4.1.281); beta-1,4-mannooligosaccharide phosphorylase (EC 2.4.1.319); beta-1,4-mannosyl-N-acetyl-glucosamine phosphorylase (EC 2.4.1.320); beta-1,2-mannobiose phosphorylase (EC 2.4.1.-); beta-1,2-oligomannan phosphorylase (EC 2.4.1.-); beta-1,2-mannosidase (EC 3.2.1.-)"	carbon utilization	CAZY	"Alpha-mannan Oligo Cleavage (Hemicellulose), Beta-mannan Oligo Cleavage (Hemicellulose)"	Glycoside Hydrolases	3	MF	vOTU3051	high confidence
vOTU303-cat_1_21-K01607	vOTU303-cat_1_21	vOTU303-cat_1	K01607	pcaC; 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]	carbon utilization	hydrocarbon degradation		"protocatechuate degradation, protocatechuate => 3-oxoadipate"	2	MK	vOTU303	high confidence
vOTU303-cat_1_17-K02004	vOTU303-cat_1_17	vOTU303-cat_1	K02004	ABC.CD.P;	Transporters	Transporters		Putative ABC transport system	2	M	vOTU303	-
vOTU302-cat_1_35-CBM32	vOTU302-cat_1_35	vOTU302-cat_1	CBM32	"CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."	carbon utilization	CAZY		Carbohydrate-Binding Modules	1	MT	vOTU302	high confidence
