vOTU	VC	 prediction_PhaGCN	Host_Genus	lifeway	checkv_quality	miuvig_quality	completeness	vs_max_score	vs_max_score_group	hallmark	dvf_score	dvf_pvalue	Length	sample	project	country
vOTU28	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.903044939	0.017505099	360324	SRR17754576	PRJNA799794	China
vOTU29	Unclassified	Tybeckvirinae	Unclassified	temperate	Complete	High-quality	100	0.94	dsDNAphage	1	0.991869569	0.006968049	352526	"SRR14026607,SRR14026576,SRR14026575,SRR14026606,SRR14026574,SRR14026577"	PRJNA714492	Switzerland
vOTU30	Unclassified	Peduoviridae	Unclassified	virulent	High-quality	High-quality	100	NA	NA	NA	0.97558713	0.009838356	346645	"SRR14026608,SRR14026597,SRR14026586,SRR14026579,SRR14026578,SRR14026594,SRR14026599,SRR14026598,SRR14026585,SRR14026582,SRR14026581,SRR14026580,SRR14026596"	PRJNA714492	Switzerland
vOTU31	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.930798531	0.015541204	330471	"SRR14026608,SRR14026597,SRR14026609,SRR14026586,SRR14026579,SRR14026578,SRR14026581,SRR14026598,SRR14026596,SRR14026599,SRR14026582,SRR14026595,SRR14026590,SRR14026592,SRR14026584,SRR14026585"	PRJNA714492	Switzerland
vOTU32	VC_405_1	Queuovirinae_like	Unclassified	virulent	Complete	High-quality	100	1	dsDNAphage	40	0.935763121	0.015087998	326053	SRR5877196	PRJNA392834	China
vOTU33	VC_1475_0	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.990256906	0.007307954	324396	SRR9313736	PRJNA531524	China
vOTU34	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.964649737	0.011632299	319089	"SRR17754575,DRR012575"	"PRJNA799794,PRJNA202273"	"China,Japan"
vOTU35	Unclassified	Peduoviridae	Clostridium	temperate	Low-quality	Genome-fragment	26.85	NA	NA	NA	0.954737306	0.013067452	317567	"SRR14026597,SRR14026586,SRR14026608,SRR14026578,SRR14026609,SRR14026606,SRR14026607,SRR14026579,SRR14026577,SRR14026574,SRR14026584,SRR14026581,SRR14026580,SRR14026591,SRR14026575,SRR14026592,SRR14026589,SRR14026603,SRR14026587,SRR14026601,SRR14026576,SRR14026582,SRR14026602,SRR14026588,SRR14026590,SRR14026600,SRR14026583,SRR14026585,SRR14026605,SRR14026604"	PRJNA714492	Switzerland
vOTU36	Unclassified	Peduoviridae	Unclassified	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.977663934	0.009573986	292317	SRR17754576	PRJNA799794	China
vOTU37	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.91388011	0.016730871	292030	"SRR5823600,SRR11450579,SRR5823596"	"PRJNA393632,PRJNA616041"	"Germany,American"
vOTU38	Unclassified	Peduoviridae	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.994781554	0.00613717	286817	"SRR17754576,SRR17754575"	PRJNA799794	China
vOTU39	Unclassified	Peduoviridae	Paraclostridium	virulent	High-quality	High-quality	100	NA	NA	NA	0.970394433	0.010725886	284370	"SRR14026609,SRR14026597,SRR14026608,SRR14026586,SRR14026579,SRR14026594,SRR14026596,SRR14026582,SRR14026598,SRR14026581,SRR14026578,SRR14026580,SRR14026585,SRR14026595,SRR14026590,SRR14026599,SRR14026593,SRR14026583,SRR14026584"	PRJNA714492	Switzerland
vOTU40	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.916607976	0.016504268	282395	"SRR5877196,SRR14026574"	"PRJNA392834,PRJNA714492"	"China,Switzerland"
vOTU41	VC_406_1	Inoviridae_like	Unclassified	virulent	Complete	High-quality	100	0.993	dsDNAphage	46	0.998170912	0.004475414	277848	SRR5877197	PRJNA392834	China
vOTU42	VC_1450_1	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.973279238	0.010178261	267781	"SRR14026609,SRR14026608,SRR14026597,SRR14026586,SRR14026579,SRR14026578,SRR14026596,SRR14026582"	PRJNA714492	Switzerland
vOTU43	VC_1444_6	Peduoviridae	Streptomyces	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.983023107	0.008875293	266221	SRR9313736	PRJNA531524	China
vOTU44	VC_2030_1	Peduoviridae	Unclassified	virulent	High-quality	High-quality	100	NA	NA	NA	0.910669148	0.016995241	257249	"SRR5877196,SRR14026574"	"PRJNA392834,PRJNA714492"	"China,Switzerland"
vOTU45	Unclassified	Peduoviridae	Unclassified	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.986199796	0.008252134	257004	SRR17754576	PRJNA799794	China
vOTU46	VC_111_1	Herelleviridae	Unclassified	virulent	Complete	High-quality	100	0.993	dsDNAphage	26	0.999994636	0.000566508	250408	"SRR5823607,SRR5823604,SRR5823605"	PRJNA393632	Germany
vOTU47	VC_1479_1	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.987004578	0.008044414	246806	SRR9313736	PRJNA531524	China
vOTU48	VC_1476_1	Peduoviridae	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.972183287	0.010442632	225538	"SRR17754576,SRR17754575"	PRJNA799794	China
vOTU49	Unclassified	Peduoviridae	Unclassified	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.990206122	0.007345721	209597	SRR9313736	PRJNA531524	China
vOTU50	Unclassified	Peduoviridae	Mastigocoleus	temperate	High-quality	High-quality	96.77	NA	NA	NA	0.91261059	0.016844173	207046	"SRR5823600,SRR5823597,SRR5823596,SRR5823601,SRR5823602,SRR5823595,SRR5823603"	PRJNA393632	Germany
vOTU51	Unclassified	Peduoviridae	Tychonema	virulent	High-quality	High-quality	100	NA	NA	NA	0.968659759	0.011197976	201523	"SRR5823602,SRR5823600,SRR5823595"	PRJNA393632	Germany
vOTU52	VC_255_2	Herelleviridae	Unclassified	temperate	High-quality	High-quality	100	0.993	dsDNAphage	13	0.999999702	0.00026437	200224	"SRR5823604,SRR5823607,SRR5823605"	PRJNA393632	Germany
vOTU53	VC_1692_0	Peduoviridae	Unclassified	virulent	High-quality	High-quality	100	NA	NA	NA	0.985260844	0.008497621	199302	"SRR17754576,SRR17754575"	PRJNA799794	China
vOTU54	VC_1883_1	Fiersviridae_like	Unclassified	virulent	Complete	High-quality	100	1	dsDNAphage	2	0.963939667	0.0117456	196940	"SRR12550822,SRR12550823,SRR12550821"	PRJNA632564	China
vOTU55	VC_255_1	Herelleviridae	Unclassified	temperate	High-quality	High-quality	96.68	1	dsDNAphage	4	0.999995887	0.000547624	193604	"SRR5823604,SRR5823607,SRR5823605,SRR5823613,SRR5823606"	PRJNA393632	Germany
vOTU56	VC_111_3	Autographiviridae_like	Unclassified	virulent	Medium-quality	Genome-fragment	82.62	0.967	dsDNAphage	28	NA	NA	184758	"SRR5823607,SRR5823605,SRR5823604"	PRJNA393632	Germany
vOTU57	VC_2048_1	Fernvirus	Unclassified	temperate	High-quality	High-quality	100	0.94	dsDNAphage	1	0.952641845	0.013331823	180110	"SRR14026609,SRR14026608,SRR14026579,SRR14026597,SRR14026586,SRR14026578"	PRJNA714492	Switzerland
vOTU58	VC_1692_0	Peduoviridae	Unclassified	virulent	High-quality	High-quality	100	NA	NA	NA	0.973306954	0.010178261	179845	"SRR14026597,SRR14026609,SRR14026608,SRR14026586,SRR14026579,SRR14026594,SRR14026582,SRR14026599,SRR14026578,SRR14026598,SRR14026596,SRR14026583,SRR14026584,SRR14026585,SRR14026580,SRR14026593,SRR14026595,SRR14026581,SRR14026589,SRR14026587,SRR14026588,SRR14026592,SRR14026590"	PRJNA714492	Switzerland
vOTU59	VC_1475_1	Peduoviridae	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.987317502	0.007987763	170101	SRR9313736	PRJNA531524	China
vOTU60	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.975794911	0.009819473	167479	SRR17754575	PRJNA799794	China
vOTU61	VC_1908_2	Peduoviridae	Paenibacillus	virulent	High-quality	High-quality	100	NA	NA	NA	0.999991417	0.000623159	164984	"SRR5823607,SRR5823605,SRR5823604"	PRJNA393632	Germany
vOTU62	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.926720202	0.015843342	162106	"SRR17754576,SRR14026574,SRR14026607"	"PRJNA799794,PRJNA714492"	"China,Switzerland"
vOTU63	VC_1445_1	Kyanoviridae	Unclassified	virulent	Medium-quality	Genome-fragment	70.71	1	dsDNAphage	11	NA	NA	161648	SRR5823598	PRJNA393632	Germany
vOTU64	VC_1841_2	Peduoviridae	Unclassified	virulent	High-quality	High-quality	100	NA	NA	NA	0.903996646	0.017467331	156253	"SRR17754576,SRR14026577"	"PRJNA799794,PRJNA714492"	"China,Switzerland"
vOTU65	Unclassified	Peduoviridae	Unclassified	virulent	Medium-quality	Genome-fragment	82.86	NA	NA	NA	0.965292037	0.011575648	154594	"SRR14026597,SRR14026578"	PRJNA714492	Switzerland
vOTU66	Unclassified	Peduoviridae	Unclassified	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.958878756	0.012557595	152763	"SRR9313736,SRR10159350"	"PRJNA531524,PRJNA562057"	China
vOTU67	Unclassified	Peduoviridae	Unclassified	virulent	High-quality	High-quality	100	NA	NA	NA	0.94356823	0.014351537	150518	SRR17754576	PRJNA799794	China
vOTU68	VC_405_3	Queuovirinae_like	Unclassified	virulent	Medium-quality	Genome-fragment	51.1	0.993	dsDNAphage	17	0.903675377	0.017467331	149555	SRR5823600	PRJNA393632	Germany
vOTU69	VC_1472_1	Peduoviridae	Unclassified	virulent	High-quality	High-quality	98.9	NA	NA	NA	0.943722248	0.01431377	148247	"SRR14026578,SRR14026586,SRR14026574,SRR14026579,SRR14026577,SRR14026606,SRR14026575,SRR14026597,SRR14026609,SRR14026588,SRR14026602,SRR14026587,SRR14026591,SRR14026600,SRR14026592"	PRJNA714492	Switzerland
vOTU70	Unclassified	Peduoviridae	Unclassified	temperate	Medium-quality	Genome-fragment	55.03	NA	NA	NA	0.996124148	0.005721731	146288	"SRR5823605,SRR5823604,SRR5823607"	PRJNA393632	Germany
vOTU71	VC_1740_1	Eucampyvirinae	Unclassified	temperate	Complete	High-quality	100	0.967	dsDNAphage	5	1	0	145500	"SRR5823602,SRR5823601"	PRJNA393632	Germany
vOTU72	Unclassified	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.947195411	0.0140494	144921	SRR9313736	PRJNA531524	China
vOTU73	VC_2409_0	Tybeckvirinae_like	Unclassified	temperate	Medium-quality	Genome-fragment	71.41	0.993	dsDNAphage	7	0.999862254	0.00188836	142199	"SRR5823597,SRR5823601,SRR5823595,SRR5823603,SRR5823598,SRR5823602,SRR5823596,SRR5823600"	PRJNA393632	Germany
vOTU74	VC_2565_0	Phycodnaviridae	Unclassified	virulent	Low-quality	Genome-fragment	33.54	NA	NA	NA	0.999846876	0.001907244	135778	"SRR5823597,SRR5823595"	PRJNA393632	Germany
vOTU75	Unclassified	Herelleviridae	Unclassified	temperate	Medium-quality	Genome-fragment	73.49	1	dsDNAphage	17	1	0	135647	"SRR5823607,SRR5823605,SRR5823604"	PRJNA393632	Germany
vOTU76	VC_1802_1	Peduoviridae	Unclassified	temperate	Low-quality	Genome-fragment	43.85	NA	NA	NA	0.921644688	0.016239897	135572	"SRR14026576,SRR14026578,SRR14026608,SRR14026577,SRR14026597,SRR14026607,SRR14026609,SRR14026579,SRR14026606,SRR14026605,SRR14026603,SRR14026580,SRR14026600,SRR14026602,SRR14026604,SRR14026601,SRR14026592,SRR14026591,SRR14026584,SRR14026581,SRR14026587,SRR14026590,SRR14026586,SRR14026588,SRR14026583,SRR14026589,SRR14026585,SRR14026582"	PRJNA714492	Switzerland
vOTU77	VC_1485_1	Peduoviridae	Mastigocoleus	temperate	High-quality	High-quality	100	NA	NA	NA	0.902609587	0.017523982	135324	"SRR5823597,SRR5823602,SRR5823595,SRR5823601,SRR5823608"	PRJNA393632	Germany
vOTU78	Unclassified	Peduoviridae	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.979095519	0.009422917	133826	SRR17754576	PRJNA799794	China
vOTU79	Unclassified	Peduoviridae	Unclassified	virulent	Medium-quality	Genome-fragment	81.5	NA	NA	NA	0.983165145	0.008856409	132446	SRR17754576	PRJNA799794	China
vOTU80	VC_1982_0	Peduoviridae	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.986644626	0.008214367	131424	"SRR14026608,SRR14026594,SRR14026598,SRR14026599,SRR14026582,SRR14026584,SRR14026583,SRR14026578,SRR14026580"	PRJNA714492	Switzerland
vOTU81	Unclassified	Peduoviridae	Unclassified	virulent	High-quality	High-quality	93.14	NA	NA	NA	0.916810274	0.016485384	130130	"SRR14026609,SRR14026608,SRR14026597,SRR14026586,SRR14026579"	PRJNA714492	Switzerland
vOTU82	Unclassified	Peduoviridae	Unclassified	temperate	Medium-quality	Genome-fragment	87.46	0.84	dsDNAphage	2	NA	NA	130108	"SRR14026577,SRR14026606,SRR14026576,SRR14026574,SRR14026607,SRR14026575,SRR14026586"	PRJNA714492	Switzerland
vOTU83	VC_1631_1	Gracegardnervirinae	Unclassified	temperate	High-quality	High-quality	90.91	0.947	dsDNAphage	2	NA	NA	129920	SRR10159353	PRJNA562057	China
vOTU84	VC_1471_2	Peduoviridae	Unclassified	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.958264589	0.012576479	129599	"SRR17754575,SRR17754576"	PRJNA799794	China
vOTU85	VC_830_0	Tybeckvirinae_like	Unclassified	virulent	Medium-quality	Genome-fragment	58.44	0.993	dsDNAphage	29	0.993498683	0.006628144	129216	"SRR5823607,SRR5823605"	PRJNA393632	Germany
vOTU86	VC_547_1	Herelleviridae	Unclassified	temperate	Medium-quality	Genome-fragment	78.32	0.96	dsDNAphage	9	NA	NA	129004	"SRR14026597,SRR14026608,SRR14026579,SRR14026578,SRR14026586,SRR14026609,SRR17754575"	"PRJNA714492,PRJNA799794"	"Switzerland,China"
vOTU87	Unclassified	Peduoviridae	Unclassified	virulent	Medium-quality	Genome-fragment	78.97	NA	NA	NA	0.944273472	0.014257119	126464	SRR17754576	PRJNA799794	China
vOTU88	VC_2565_0	Iridoviridae	Unclassified	virulent	Low-quality	Genome-fragment	37.72	NA	NA	NA	0.999985218	0.000811995	125202	"SRR5823597,SRR5823595"	PRJNA393632	Germany
vOTU89	VC_1095_2	Kyanoviridae	Unclassified	temperate	Complete	High-quality	100	0.98	dsDNAphage	6	0.992913365	0.006760329	121849	"SRR5823595,SRR5823598,SRR5823601,SRR5823600,SRR5823602,SRR5823603,SRR5823610,SRR5823606,SRR5823596"	PRJNA393632	Germany
vOTU90	VC_831_2	Tybeckvirinae_like	Unclassified	temperate	Complete	High-quality	100	0.993	dsDNAphage	8	0.999737561	0.002247149	120560	"SRR5823607,SRR5823605,SRR5823604"	PRJNA393632	Germany
vOTU91	Unclassified	Peduoviridae	Unclassified	virulent	Medium-quality	Genome-fragment	85.62	NA	NA	NA	0.957942784	0.012633129	119795	"SRR14026606,SRR14026586,SRR14026597,SRR14026608,SRR14026575,SRR14026576,SRR14026601,SRR14026602,SRR14026600,SRR14026605,SRR14026604,SRR14026584,SRR14026585,SRR14026582,SRR14026590,SRR14026580"	PRJNA714492	Switzerland
vOTU92	VC_1646_1	Suoliviridae	Unclassified	temperate	Medium-quality	Genome-fragment	64.35	0.987	dsDNAphage	12	0.999193668	0.003285747	119305	"SRR5823598,SRR5823606"	PRJNA393632	Germany
vOTU93	Unclassified	Peduoviridae	Unclassified	temperate	Low-quality	Genome-fragment	32.98	NA	NA	NA	0.906906486	0.017202961	118638	"SRR14026606,SRR14026574"	PRJNA714492	Switzerland
vOTU94	Unclassified	Kyanoviridae	Unclassified	virulent	Medium-quality	Genome-fragment	50.57	0.813	dsDNAphage	2	0.994751275	0.006156054	118145	"SRR5823607,SRR5823605"	PRJNA393632	Germany
vOTU95	Unclassified	Peduoviridae	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.969338298	0.010971372	117193	"SRR14026575,SRR14026602,SRR14026591,SRR14026604,SRR14026605,SRR14026603,SRR14026600,SRR14026585,SRR14026592,SRR14026584,SRR14026583,SRR14026582,SRR14026581"	PRJNA714492	Switzerland
vOTU96	Unclassified	Boydwoodruffvirinae	Unclassified	virulent	Medium-quality	Genome-fragment	84.67	1	dsDNAphage	8	0.999419928	0.003002493	116225	"SRR5823600,SRR5823595"	PRJNA393632	Germany
vOTU97	VC_1845_0	Peduoviridae	Unclassified	temperate	High-quality	High-quality	100	NA	NA	NA	0.9253546	0.015918876	116043	"SRR14026606,SRR14026607,SRR14026576,SRR14026577,SRR14026575,SRR14026574"	PRJNA714492	Switzerland
vOTU98	Unclassified	Peduoviridae	Unclassified	temperate	Medium-quality	Genome-fragment	74.35	NA	NA	NA	0.972686887	0.010272679	115524	SRR9313735	PRJNA531524	China
vOTU99	VC_1861_0	Asfarviridae	Unclassified	virulent	Low-quality	Genome-fragment	27.62	0.813	dsDNAphage	1	NA	NA	114746	"SRR5823598,SRR5823596,SRR5823603,SRR5823600,SRR5823597,SRR5823610"	PRJNA393632	Germany
vOTU100	VC_1849_0	Rudiviridae_like	Unclassified	virulent	Medium-quality	Genome-fragment	65.62	0.84	dsDNAphage	1	0.999998391	0.000434323	114335	"SRR5823607,SRR5823605,SRR5823604"	PRJNA393632	Germany
vOTU101	VC_1861_0	Asfarviridae	Unclassified	temperate	Low-quality	Genome-fragment	30.19	0.873	dsDNAphage	1	NA	NA	114247	"SRR5823603,SRR5823598,SRR5823600,SRR5823597,SRR5823596,SRR5823610"	PRJNA393632	Germany
vOTU102	Unclassified	Mesyanzhinovviridae	Unclassified	virulent	Complete	High-quality	100	1	dsDNAphage	3	0.960490584	0.012312108	113369	"SRR12550820,SRR12550821"	PRJNA632564	China
vOTU103	VC_1646_0	Steigviridae	Unclassified	virulent	Complete	High-quality	100	1	dsDNAphage	3	0.999509931	0.002926958	111301	SRR5823598	PRJNA393632	Germany
vOTU104	VC_2030_0	Peduoviridae	Unclassified	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.978365302	0.009517335	110114	SRR17754576	PRJNA799794	China
vOTU105	VC_1829_0	Peduoviridae	Mastigocoleus	temperate	Medium-quality	Genome-fragment	88.57	NA	NA	NA	0.990691006	0.007251303	109855	SRR5823597	PRJNA393632	Germany
vOTU106	VC_1471_1	Peduoviridae	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.985477805	0.008459853	109262	"SRR14026576,SRR14026577,SRR14026574"	PRJNA714492	Switzerland
vOTU107	VC_1893_0	Casjensviridae_like	Unclassified	virulent	Low-quality	Genome-fragment	48.11	0.96	dsDNAphage	5	0.999885261	0.001756175	108173	"SRR5512143,SRR11450588,SRR11450580,SRR11450581,SRR11450583"	"PRJNA385547,PRJNA616041"	"China,American"
vOTU108	Unclassified	Iridoviridae	Unclassified	temperate	Complete	High-quality	100	1	dsDNAphage	6	NA	NA	107755	SRR6049603	PRJNA392834	China
vOTU109	VC_1802_0	Peduoviridae	Unclassified	temperate	Not-determined	Genome-fragment	NA	NA	NA	NA	0.952782333	0.013312939	106885	SRR14026577	PRJNA714492	Switzerland
vOTU110	Unclassified	unknown	Unclassified	temperate	Complete	High-quality	100	0.987	dsDNAphage	13	NA	NA	106087	SRR10346359	PRJNA579552	China
vOTU111	VC_1815_0	Peduoviridae	Unclassified	virulent	Not-determined	Genome-fragment	NA	NA	NA	NA	0.955795467	0.0128975	104908	"SRR10159355,SRR10159349,SRR10159352,SRR10159354,SRR10159347,SRR10159348,SRR10159351"	PRJNA562057	China
vOTU112	VC_1849_0	Rudiviridae_like	Unclassified	virulent	Medium-quality	Genome-fragment	58.75	NA	NA	NA	0.999998927	0.000396556	104605	"SRR5823604,SRR5823605"	PRJNA393632	Germany
vOTU113	Unclassified	Triavirus_like	Unclassified	temperate	High-quality	High-quality	95.94	0.927	dsDNAphage	5	NA	NA	104459	"SRR17754575,SRR17754576"	PRJNA799794	China
vOTU114	Unclassified	Fernvirus_like	Shewanella	temperate	Medium-quality	Genome-fragment	71.9	NA	NA	NA	0.96366024	0.011783367	103944	"SRR6049602,SRR6325799"	PRJNA392834	China
vOTU115	Unclassified	Adenoviridae_like	Unclassified	temperate	Complete	High-quality	100	0.993	dsDNAphage	6	NA	NA	103862	"SRR10159352,SRR10159353,SRR10159350,SRR10159355,SRR10159347,SRR10159351,SRR10159349,SRR10159354,SRR10159348"	PRJNA562057	China
vOTU116	Unclassified	Efquatrovirus	Unclassified	temperate	Complete	High-quality	100	0.96	dsDNAphage	20	NA	NA	103560	"SRR17754575,SRR17754576"	PRJNA799794	China
